service_id,series_id,series_type,root_id,venue,data_schema,data_source,destination,extractor,additional_params,symbol,active
1,NAPEW.ONYX.1,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewv25,1
2,NAPEW.ONYX.2,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewx25,1
3,NAPEW.ONYX.3,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewz25,1
4,NAPEW.ONYX.4,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewf26,1
5,NAPEW.ONYX.5,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewg26,1
6,NAPEW.ONYX.6,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewh26,1
7,NAPEW.ONYX.7,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewj26,1
8,NAPEW.ONYX.8,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewk26,1
9,NAPEW.ONYX.9,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewm26,1
10,NAPEW.ONYX.10,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewn26,1
11,NAPEW.ONYX.11,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewq26,1
12,NAPEW.ONYX.12,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewu26,1
13,NAPEW.ONYX.13,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewv26,1
14,NAPEW.ONYX.14,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewx26,1
15,NAPEW.ONYX.15,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewz26,1
16,NAPEW.ONYX.16,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewf27,1
17,NAPEW.ONYX.17,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewg27,1
18,NAPEW.ONYX.18,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewh27,1
19,NAPEW.ONYX.19,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewj27,1
20,NAPEW.ONYX.20,fut,NAPEW,ONYX,mbp-1,onyx,redis1,realtime,"{""redis"":{""type"":""stream""}}",napewk27,1
21,NAPEW.ONYX.1,fut,NAPEW,ONYX,ohlcv-1d,onyx,redis1,historical,"{""redis"":{""type"":""kv"",""field"":""close""}}",napewv25,1
